name,ratings,date,helpful,comment,developer_comment
SE A,5,2021-05-21,0,잼,
0 0o0o,2,2021-05-21,0,이거 지혼자 삭제되는데?,
천리향og,2,2021-05-21,0,요즘 한달여간 상대방 톡이 오지도 않고 내가 보낸 톡도 상대가 읽었는데 안읽었는데 것으로 나오고 오류 작렬,
송현준,1,2021-05-21,0,왜 로그인 가입 둘다 안되나요? 계속 인증도 안된다고 하고,
공부중,1,2021-05-20,0,요즘 전송 실패가 잦아요 그리구 메시지 왔다는 알림은 오는데 실제 메시지를 받는건 30초~1분 더 걸려요..전에는 이런적 없었는데 요즘 왜이러나용 저만 그런가요..?,
Ya CHIN,4,2021-05-20,0,일본인 친구랑 대화 할려고 쓰는거니까 한국인 끼리는 걍 카톡 씁시다,
안재우,1,2021-05-20,0,모르고 지웠으면 아이디 저장됬던거 싹다 지워짐 정말 불편함... ㅡㅡ,
백월,1,2021-05-19,0,도대체 피드 검색기능을 왜 없앤건지 이해 안감 ㅋㅋ,
윤혁,3,2021-05-19,0,가끔씩 상대방의 메세지가 안보이거나 제가보낸 메세지가 안보내질때도 있어요 고쳐주세요!,
양정민,5,2021-05-19,0,저에게는. 아주 유용 하게 쓰여 좋 습니다,
꾸꾸,1,2021-05-19,9,s21로 바꾸고 화면 꺼짐 상태에서 문자 알림이 화면에 뜨질 않습니다. 진동만 되고요. 알림 껏다 키고 새로 깔고를 5번 반복했는데 카톡 문자는 다 되는데 라인만 안됩니다.,
hyunill choi,1,2021-05-18,0,왜 로그아웃이 없죠?,
망고,5,2021-05-18,0,완전 조아아아아아아아요!! 근데 알림이 조금 늦게 오는 경우도 있으니까 그것만 고쳐주심 감사하겠습니다!!,
나는 누구?여긴 어디?,2,2021-05-18,1,아니근데 이거첨에 전화인즘 메세지 안와서 계속 누르다 인증 실패 너무 많이 해서 좀따 하라는데 언제 풀리나요..?,
단지,3,2021-05-17,0,좋은데 렉걸림 ㅠ,
김광진,3,2021-05-17,1,아니 로그인을 할려고 하는데 갑자기 인증을 일시적으로 못한데요 이것좀 고쳐주세요,
Lee Nam,1,2021-05-17,16,"쓰레기같이 메신저가 느려터짐. 업무용이나 비상용으로는 최악의 어플. 차라리 위챗, 왓츠앱이나 텔레그램 쓰는게 훨씬 안전하다. 라인으로 연락했다 딜레이걸리는 바람에 사고터져서 손해배상청구소송하고싶을정도. 절대 업무용으로 쓰지마세요",
꿈틀이,1,2021-05-17,14,저기요 이고양님 믿지 마세요 별로 좋지도 않고 가끔은 끊어져요 친구가 오해하고 절교하자고 했음 이 앱 정말 추천 ㄴㄴ 구지 설치 하려면 라인 말고 카톡 추천드려요.제가 부계정에다3g 태블릿이어서도 있겠지만 이건 도를 넘네요 별 1도 주기 싫어요,
DANA SHIN,1,2021-05-17,0,이메일좀 보내주세요 로그인좀하게....... ㅠㅠ,
윤화경,1,2021-05-17,0,안 조아여,
G.I Park,3,2021-05-17,0,셀프카메라 좀만들어주세요 왜 지웠나요,
맘쨩튜브,1,2021-05-16,0,중국인들 개많 ㅡㅡ,
빡대갈김선생,1,2021-05-16,0,비번 왜 안찾아짐? 폰 계정으로 본인확인햐면 되게끔 만들어줘야지 ; 번거롭네 ㅡㅡ,
밍키,4,2021-05-16,0,음.. 좋아요. 프사도 바꿀수있네요. 근데 메세지 전송 ㅈ속도가 좀,
섭둥이 하리,1,2021-05-16,0,아니 해시태그 기능 왜 없어졌어요?,
Lune Bleue,1,2021-05-15,0,혹시 비밀번호말고 지문으로 여는건 안되는건가요...되게 불편하네요...,
수뚜루,5,2021-05-15,0,너무 좋아요ㅠㅠ 카톡보다 좋아요ㅠㅠ,
happy happy,5,2021-05-15,0,좋아,
김태현,5,2021-05-15,0,Good!!!!,
"박성훈,",1,2021-05-14,0,인증이 안되요,
Mirai Chan,5,2021-05-14,0,우수 설치 확인 😘,
김형진,1,2021-05-14,16,아니 비밀번호 잊어버려서 비밀번호찾기 했는데 이메일이 안와서 계정 이전 들어가서 이메일 쳐봤는데 없는이메일 이레요 ㅠㅠㅠㅠ 이메일을 치던도중 오타가 있었나봅니다 ㅠㅠ,
진주에게임리뷰,5,2021-05-14,1,통화도할수있고 카톡처럼 문자보낼수있어서 좋다,
이상옥이,5,2021-05-14,0,좋은사이트입니다,
유열,5,2021-05-14,1,번역기가 있어서 편리하지만 가끔 제멋데로임,
가흔생기브열성팬TV,5,2021-05-13,0,랙도 않걸리고 통화도 끈기지않아서좋음,
나뚜루,1,2021-05-13,0,라인 안에 있는 사진이 안나온다고 뜨네여 이거 어떻게 해결해쥘수 있는가요?,
앱코,5,2021-05-13,0,왜안돠??,
땡,1,2021-05-13,0,라인이 안깔린다는데요 무슨일이죠..,
김윤희,5,2021-05-13,0,그저좋아오,
신현정,1,2021-05-13,4,해시태그는 왜 안 되는 거죠? 해당 국가에서 안 된다던데...,
95 z,5,2021-05-13,3,넘넘넘 좋아요 친한 언니들이랑 이야기하기 넘넘넘 좋아요 이거 이거 추천 꼭 써보시길~~♡,
chong-suh kim,4,2021-05-13,0,Excellent app that I love most!,
임임재옥,3,2021-05-12,0,너무나유포뎁니다,
박상철,1,2021-05-12,0,ㅜ 나 ㆍㄴ.ㅈ ㄷㅈㅇ수ㅜㄷnn774i,
주야,5,2021-05-12,0,조아영ㅇ,
ᆞᆞ,1,2021-05-12,0,절땨,
김영광,5,2021-05-11,0,좋아요,
ひょずん,5,2021-05-11,0,私はHJJeon、韓国人です。,
고정일,5,2021-05-11,0,좋네요,
Techit K.,4,2021-05-11,73,갤럭시 s7 사용하고 있습니다. 라인 안드로이드 버전도 지문인식/잠금을 사용할 수 있으면 좋겠어요. 매번 암호를 누르는 것보다 지문인식으로 하는 것이 더 효율적이고 빠를 것 같아요.,
ji won song,5,2021-05-11,2,라인 오픈쳇이 없어졌는데 다시 생겼으현 좋겠습니다.,
라라,1,2021-05-11,1,비밀번호찾기가 안됩니다 메일로 안와요,
이하늘,1,2021-05-10,0,비밀번호가 자꾸오류에요,
이고양,5,2021-05-10,104,너무 조음!!진짜 울 엄마 카톡 못 깔게 해서 슬펐는데..ㅜ 라인은 허락하심!!라인은 그만큼 안정이 가나봄! 정말 자기 프사도 예쁘게 바꿀수도 있궁!!♡진짜 이보다 좋을순 없지만..! 카톡처럼 프사도 좀 많이 올릴수 있게 해준다면 저 별 100개는 드릴수 있을것 같습니다!!이점만 참고해주세요! 감사^^~♡♡!!,
김태형,1,2021-05-10,23,"오늘 갑자기 접속이 되지 않고 있습니다...pc버전의 QR코드는 구버젼이라머 접속이 안되고, 폰의 앱은 실행이 되지 않고....왜 이런거죠?",
무행TV,1,2021-05-09,1,메시지가 읽음으로 안 뜨는거는 운영정책을 위반해서 그렇습니다,
Eun chan TV,1,2021-05-09,0,설치왜이렇게오래걸려요? 그리고 모르고삭제했는데 다시깔아보니까 다시로그인하라고 뜨네요,
jinhee,3,2021-05-08,0,음?,
앨리스,3,2021-05-08,21,옛날보다 쓰기 힘들어졌네요. 가입도 제한두고 다시 페이스북으로만 가입 가능했으면 좋겠네요.,
최치환,3,2021-05-07,1,대화가 가질 않아요 ㅠ,
jooyeon kim,3,2021-05-06,5,"보안 와이파이에서 메시지 전송이 전혀안되는데, 무슨 설정을 해야해나요?(카*은 되는데)",
유현오,5,2021-05-06,0,유민서,
이우현,1,2021-05-06,1,아니 단체방 초대 오류 해결해주세요,
Trinity,4,2021-05-06,15,폰으로 메세지를 전송 못 하는데 PC만 가능..저말 그런가요? 업무상 필요하니 빨리 고쳐주세요ㅠㅠ,
Niayesh Akbari,5,2021-05-06,0,من عاشق کره هستم❤️🇰🇷❤️,
짱구,3,2021-05-05,2,알람소리 한번씩 안울리고 진동으로옴 ㅡㅡ,
웨후뺙,2,2021-05-05,1,할 말이 없다ㅋ,
X Hyde,1,2021-05-05,12,나만 요즘들어 메시지 보내는게 느린게 아니였구나 ㅠㅠ 보내지지도 않도 라인와서 확인하면 5초후에야 확인가능😭,
예율,1,2021-05-05,1,제발 ㅠㅠㅠ 업데이트 좀....진짜 이럴거면 카톡쓰죠,
이한월,2,2021-05-05,1,인터넷이 안좋은것도 아니고 다 좋은데 메세지가 안보내지는데 정상인가요,
king Shevcehenko7,1,2021-05-04,0,채팅도 안쳐지고 오류라고 떠요,
ZEPETO우유뽀쨕,1,2021-05-04,0,이거 카톡 따라한거 아님?ㅋ,
