name,comment
나,이거 지혼자 삭제되는데?
나,요즘 한달여간 상대방 톡이 오지도 않고 내가 보낸 톡도 상대가 읽었는데 안읽었는데 것으로 나오고 오류 작렬
나,왜 로그인 가입 둘다 안되나요? 계속 인증도 안된다고 하고
나,요즘 전송 실패가 잦아요 그리구 메시지 왔다는 알림은 오는데 실제 메시지를 받는건 30초~1분 더 걸려요..전에는 이런적 없었는데 요즘 왜이러나용 저만 그런가요..?
나,모르고 지웠으면 아이디 저장됬던거 싹다 지워짐 정말 불편함... ㅡㅡ
나,도대체 피드 검색기능을 왜 없앤건지 이해 안감 ㅋㅋ
나,s21로 바꾸고 화면 꺼짐 상태에서 문자 알림이 화면에 뜨질 않습니다. 진동만 되고요. 알림 껏다 키고 새로 깔고를 5번 반복했는데 카톡 문자는 다 되는데 라인만 안됩니다.
나,왜 로그아웃이 없죠?
나,아니근데 이거첨에 전화인즘 메세지 안와서 계속 누르다 인증 실패 너무 많이 해서 좀따 하라는데 언제 풀리나요..?
나,"쓰레기같이 메신저가 느려터짐. 업무용이나 비상용으로는 최악의 어플. 차라리 위챗, 왓츠앱이나 텔레그램 쓰는게 훨씬 안전하다. 라인으로 연락했다 딜레이걸리는 바람에 사고터져서 손해배상청구소송하고싶을정도. 절대 업무용으로 쓰지마세요"
나,저기요 이고양님 믿지 마세요 별로 좋지도 않고 가끔은 끊어져요 친구가 오해하고 절교하자고 했음 이 앱 정말 추천 ㄴㄴ 구지 설치 하려면 라인 말고 카톡 추천드려요.제가 부계정에다3g 태블릿이어서도 있겠지만 이건 도를 넘네요 별 1도 주기 싫어요
나,이메일좀 보내주세요 로그인좀하게....... ㅠㅠ
나,안 조아여
나,중국인들 개많 ㅡㅡ
나,비번 왜 안찾아짐? 폰 계정으로 본인확인햐면 되게끔 만들어줘야지 ; 번거롭네 ㅡㅡ
나,아니 해시태그 기능 왜 없어졌어요?
나,혹시 비밀번호말고 지문으로 여는건 안되는건가요...되게 불편하네요...
나,인증이 안되요
나,아니 비밀번호 잊어버려서 비밀번호찾기 했는데 이메일이 안와서 계정 이전 들어가서 이메일 쳐봤는데 없는이메일 이레요 ㅠㅠㅠㅠ 이메일을 치던도중 오타가 있었나봅니다 ㅠㅠ
나,라인 안에 있는 사진이 안나온다고 뜨네여 이거 어떻게 해결해쥘수 있는가요?
나,라인이 안깔린다는데요 무슨일이죠..
나,해시태그는 왜 안 되는 거죠? 해당 국가에서 안 된다던데...
나,ㅜ 나 ㆍㄴ.ㅈ ㄷㅈㅇ수ㅜㄷnn774i
나,절땨
나,비밀번호찾기가 안됩니다 메일로 안와요
나,비밀번호가 자꾸오류에요
나,"오늘 갑자기 접속이 되지 않고 있습니다...pc버전의 QR코드는 구버젼이라머 접속이 안되고, 폰의 앱은 실행이 되지 않고....왜 이런거죠?"
나,메시지가 읽음으로 안 뜨는거는 운영정책을 위반해서 그렇습니다
나,설치왜이렇게오래걸려요? 그리고 모르고삭제했는데 다시깔아보니까 다시로그인하라고 뜨네요
나,아니 단체방 초대 오류 해결해주세요
나,할 말이 없다ㅋ
나,나만 요즘들어 메시지 보내는게 느린게 아니였구나 ㅠㅠ 보내지지도 않도 라인와서 확인하면 5초후에야 확인가능😭
나,제발 ㅠㅠㅠ 업데이트 좀....진짜 이럴거면 카톡쓰죠
나,인터넷이 안좋은것도 아니고 다 좋은데 메세지가 안보내지는데 정상인가요
나,채팅도 안쳐지고 오류라고 떠요
나,이거 카톡 따라한거 아님?ㅋ
나,"왜 음성통화 걸려오면, 전화 왔다는 화면을 안띄워 주시나요? 노트10 씁니다. 전화는 오는데, 누구한테 오는지 모르니까 체팅방 일일히 다 열어서 어떤 전화기 마크가 (그것도 심지어 쬐끄매) 초록색으로 빛나고 있는지 일일히 찾아야 하잖아요 업데이트 전엔 안그랬는데 왜이래? 21년 5월 추가한다. 메세지 오면 왜 제깍제깍 안표시되냐? 알람만 울리고, 막상 쳇 열면 새로 온 메세지가 없다고! 백그라운드에서 앱 껏다 다시 키면 그제서야 보이는게 정상이냐? 미쳤네"
나,로그인 못 해요~! 인터넷이 원활하지 않는다고 나오네요. 다른 것들이 다 되는데 말입니다.
나,문의하고싶은게있는데 홈페이지도 그렇고 어디에도 이메일주소나 전화번호도 없고 뭐 어떻게 아무것도없음?
나,개비싸 비싸면 재미라도 있던가 그냥 비싸 한번쓰고 지운다 안 타본 사람은 호기심에 5000원 15분 안에 날라간다
나,분명 메시지 수신 팝업 받았는데 켜보면 메시지 바로 안오고 1분뒤에 몰아서옴.
나,아저는 이게 만3세이상이여서 깔아봤는데 만14세이상으로뜨내요 하진짜
나,친구찾기 아이디검색부분에서 문자가 이중으로 입력숫자는 괜찮아요.
나,전체적으로 고쳐주세요. 서비스 참 별로네요.
나,한 두달째 인증 기능을 일시적으로 사용할 수 없다면서 로그인조차 안 되는 건 뭡니까? 여기 일 안 해요?
나,인증기능이 안된다는데요..
나,좋지도 나쁘지도아늠
나,이상한 사람이 많음
나,이거 야한 사람들이 많이이용해서 이앱을 없애줬음 좋겠네요
나,"라인알람잘안뜨고, 느려요..개선시급한데 몇달째그대론데 언제개선되나요"
나,진짜 인증방법이나 똑바로만들어 이게 맞냐? 비번 똑바로쳐도 안되고 비번찾기하니까 무슨 이메일치래서 가입할때쳤던 네이버 치니까 메일 안오고 어쩌라는거여ㅡㅡ 그러더니 인증초과뜬다고? 이게 대기업에서 월급주면서 만들은 어플이냐? 이럴꺼면 접으세여 ㅋㅋㅋㅋ
나,한 마디로 정리... 카톡 짭
나,비번 몰라서 이메일로 비번 받으려고 했는데 수십번 이메일 입력해도 메일이 안옴 ㅜㅜ 여기는 직원들이 일을 안 하나?
나,맨날 백업할려하면 잠시후에 다시 시도하라 그러고 저 같으면 바로 고칠텐데.... 정말 최악의 어플이네요^~^ 무능하고 보기 좋습니다
나,계정을 만들 수가 없습니다 가입을 하려고 하면 오류가 뜨고 재접속 해도 뜨고 삭제했다가 다시 들어가도 오류가 뜹니다
나,접속하려고 하니 비번 까먹어서 메일전송 눌렀는데 몇시간동안 안옴ᆢ ㅡㅡ
나,최악입니다. 계정을 찾으려고 비밀번호 찾기를 눌러도 이메일로 변경하는게 안 오네요 ㅋㅋㅋ 고객센터 전화도 안되고 뭐하자는 건지
나,"저기요 개발자분들 앱 점검은 제대로 하시는거 맞나요? 저 s21울트라 씁니다. 근데 제폰이 이상한건가요? 메세지도 제대로 안받아지고 보내는것도 에러심하고, 사진보내면 전송도 안되고, 전화도 제대로 연결이 안되고..지금 뭐하고 계신가요? 앱 관리 좀 하세요"
나,메세지 안보내지는거 심각하네요 채용 전에 시스템이나 제대로 손보시길
나,메신저가 메시지가 안가고 알람이 2시간 뒤에 오면 어쩌자는 건지 모르겠음
나,소리로해놔도 두번째메세지부터 소리로알려줌
나,앱 다운이 안 됌
나,왜 갑자기 LINE에서 국가변경 사라져습니까 갑자기 사라진 이유가 뭐에요 이유를 알려주세요
나,회원탈퇴한 사람은 어떻게찾나요..
나,제발 업뎃 관리 좀 똑바로 해요. 이럴거면 접던가. 최신버전 쓰면 뭐합니까 매번 메시지 전송 속도가 느려서.. 최신폰 쓰는데도 수신이 몇분씩 함흥차사인게 말이되나.. 이러다간 예전에 망한 틱톡꼴 날듯
나,왜 설치가 안돼죠?
나,진짜 얘네 뭐하자는 걸까
나,여태 잘사용했는데 업데이트 되지 않네요
나,지금같은시대에 지문인식 잠금이 없는게 말이됨?ㅜㅜ
나,해시태그 왜 없앴나요?
나,도대체 전송이 왜 안되냐고~~~~~몇번째냐고~~~~~
나,허구언날 오류 오류..버그 안 잡나요?!!! 아니 메세지 온거 알림도 안 뜨고!! 오늘은 아예 메세지가 안 가요!! 다시 들어가도 데이터 껐다켜도 안 가서 그냥 지워 버렸어요!!!!!!!
나,알람이 안떠요ㅠㅠ
나,한국인데 현재 국가 및 지역에서는 해시태그 지원을 왜 못하나요 ㅋㅋ
나,로그인이 안되는데 뭘 어쩌라는 건데?
나,가면 갈수록 사람들이 원하지 않는 방향으로 가네요. 인스타처럼 태그가 안 되는 거 너무 불편하네요. 카톡이랑 다르게 태그로 사람 구별하는 게 라인의 장점이였는데. 다음 업데이트에서는 탐라에서 태그로 사람 구별이 가능했으면 좋겠네요.
나,알람 안오거나 늦게옴
